squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Roma,65,46,1.7105263157894737,1.2105263157894737,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,19,63,2024
Lazio,49,39,1.2894736842105263,1.0263157894736843,38,18,7,13,47.368421052631575,18.421052631578945,34.21052631578947,10,61,2024
Fiorentina,61,46,1.605263157894737,1.2105263157894737,38,17,9,12,44.73684210526316,23.684210526315788,31.57894736842105,15,60,2024
Napoli,55,48,1.4473684210526316,1.263157894736842,38,13,14,11,34.21052631578947,36.84210526315789,28.947368421052637,7,53,2024
Torino,36,36,0.9473684210526316,0.9473684210526316,38,13,14,11,34.21052631578947,36.84210526315789,28.947368421052637,0,53,2024
Genoa,45,45,1.1842105263157894,1.1842105263157894,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,0,49,2024
Monza,39,51,1.0263157894736843,1.3421052631578947,38,11,12,15,28.947368421052637,31.57894736842105,39.47368421052632,-12,45,2024
Lecce,32,54,0.8421052631578947,1.4210526315789471,38,8,14,16,21.052631578947366,36.84210526315789,42.10526315789473,-22,38,2024
Verona,38,51,1.0,1.3421052631578947,38,9,11,18,23.684210526315788,28.947368421052637,47.368421052631575,-13,38,2024
Udinese,37,53,0.9736842105263158,1.394736842105263,38,6,19,13,15.789473684210526,50.0,34.21052631578947,-16,37,2024
Empoli,29,54,0.7631578947368421,1.4210526315789471,38,9,9,20,23.684210526315788,23.684210526315788,52.63157894736842,-25,36,2024
Cagliari,42,68,1.105263157894737,1.7894736842105263,38,8,12,18,21.052631578947366,31.57894736842105,47.368421052631575,-26,36,2024
Frosinone,44,69,1.1578947368421053,1.8157894736842104,38,8,11,19,21.052631578947366,28.947368421052637,50.0,-25,35,2024
Sassuolo,43,75,1.131578947368421,1.973684210526316,38,7,9,22,18.421052631578945,23.684210526315788,57.89473684210527,-32,30,2024
Salernitana,32,81,0.8421052631578947,2.131578947368421,38,2,11,25,5.263157894736842,28.947368421052637,65.78947368421053,-49,17,2024
